"24000";"IGNOR";"Município ignorado - RN";"MUNICIPIO IGNORADO - RN";"Ignorado - RN";"8"
"24001";"ATIVO";"1ª Região de Saúde - São José de Mipibu";"1A REGIAO DE SAUDE - SAO JOSE DE MIPIBU";"São José de Mipibu";"1"
"24002";"ATIVO";"2ª Região de Saúde - Mossoró";"2A REGIAO DE SAUDE - MOSSORO";"Mossoró";"1"
"24003";"ATIVO";"3ª Região de Saúde - João Câmara";"3A REGIAO DE SAUDE - JOAO CAMARA";"João Câmara";"1"
"24004";"ATIVO";"4ª Região de Saúde - Caicó";"4A REGIAO DE SAUDE - CAICO";"Caicó";"1"
"24005";"ATIVO";"5ª Região de Saúde - Santa Cruz";"5A REGIAO DE SAUDE - SANTA CRUZ";"Santa Cruz";"1"
"24006";"ATIVO";"6ª Região de Saúde - Pau dos Ferros";"6A REGIAO DE SAUDE - PAU DOS FERROS";"Pau dos Ferros";"1"
"24007";"ATIVO";"7ª Região de Saúde - Metropolitana";"7A REGIAO DE SAUDE - METROPOLITANA";"Metropolitana";"1"
"24008";"ATIVO";"8ª Região de Saúde - Açu";"8A REGIAO DE SAUDE - ACU";"Açu";"1"
"25000";"IGNOR";"Município ignorado - PB";"MUNICIPIO IGNORADO - PB";"Ignorado - PB";"8"
"25001";"ATIVO";"1ª Região Mata Atlântica";"1A REGIAO MATA ATLANTICA";"1ª Região Mata Atlântica";"1"
"25002";"ATIVO";"2ª Região";"2A REGIAO";"2ª Região";"1"
"25003";"ATIVO";"3ª Região";"3A REGIAO";"3ª Região";"1"
"25004";"ATIVO";"4ª Região";"4A REGIAO";"4ª Região";"1"
"25005";"ATIVO";"5ª Região";"5A REGIAO";"5ª Região";"1"
"25006";"ATIVO";"6ª Região";"6A REGIAO";"6ª Região";"1"
"25007";"ATIVO";"7ª Região";"7A REGIAO";"7ª Região";"1"
"25008";"ATIVO";"8ª Região";"8A REGIAO";"8ª Região";"1"
"25009";"ATIVO";"9ª Região";"9A REGIAO";"9ª Região";"1"
"25010";"ATIVO";"10ª Região";"10A REGIAO";"10ª Região";"1"
"25011";"ATIVO";"11ª Região";"11A REGIAO";"11ª Região";"1"
"25012";"ATIVO";"12ª Região";"12A REGIAO";"12ª Região";"1"
"25013";"ATIVO";"13ª Região";"13A REGIAO";"13ª Região";"1"
"25014";"ATIVO";"14ª Região";"14A REGIAO";"14ª Região";"1"
"25015";"ATIVO";"15ª Região";"15A REGIAO";"15ª Região";"1"
"25016";"ATIVO";"16ª Região";"16A REGIAO";"16ª Região";"1"
"26000";"IGNOR";"Município ignorado - PE";"MUNICIPIO IGNORADO - PE";"Município ignorado - PE";"8"
"26001";"ATIVO";"Afogados da Ingazeira";"AFOGADOS DA INGAZEIRA";"Afogados da Ingazeira";"1"
"26002";"ATIVO";"Arcoverde";"ARCOVERDE";"Arcoverde";"1"
"26003";"ATIVO";"Caruaru";"CARUARU";"Caruaru";"1"
"26004";"ATIVO";"Garanhuns";"GARANHUNS";"Garanhuns";"1"
"26005";"ATIVO";"Goiana";"GOIANA";"Goiana";"1"
"26006";"ATIVO";"Limoeiro";"LIMOEIRO";"Limoeiro";"1"
"26007";"ATIVO";"Ouricuri";"OURICURI";"Ouricuri";"1"
"26008";"ATIVO";"Palmares";"PALMARES";"Palmares";"1"
"26009";"ATIVO";"Petrolina";"PETROLINA";"Petrolina";"1"
"26010";"ATIVO";"Recife";"RECIFE";"Recife";"1"
"26011";"ATIVO";"Salgueiro";"SALGUEIRO";"Salgueiro";"1"
"26012";"ATIVO";"Serra Talhada";"SERRA TALHADA";"Serra Talhada";"1"
"27000";"IGNOR";"Município ignorado - AL";"MUNICIPIO IGNORADO - AL";"Ignorado - AL";"8"
"27001";"ATIVO";"1ª Região de Saúde";"1A REGIAO DE SAUDE";"1ª Região de Saúde";"1"
"27002";"ATIVO";"2ª Região de Saúde";"2A REGIAO DE SAUDE";"2ª Região de Saúde";"1"
"27003";"ATIVO";"3ª Região de Saúde";"3A REGIAO DE SAUDE";"3ª Região de Saúde";"1"
"27004";"ATIVO";"4ª Região de Saúde";"4A REGIAO DE SAUDE";"4ª Região de Saúde";"1"
"27005";"ATIVO";"5ª Região de Saúde";"5A REGIAO DE SAUDE";"5ª Região de Saúde";"1"
"27006";"ATIVO";"6ª Região de Saúde";"6A REGIAO DE SAUDE";"6ª Região de Saúde";"1"
"27007";"ATIVO";"7ª Região de Saúde";"7A REGIAO DE SAUDE";"7ª Região de Saúde";"1"
"27008";"ATIVO";"8ª Região de Saúde";"8A REGIAO DE SAUDE";"8ª Região de Saúde";"1"
