"42101";"ATIVO";"SRMETR";"Extremo Oeste - Núcleo Metropolitano - SC";"EXTREMO OESTE - NUCLEO METROPOLITANO - SC";"Extremo Oeste - núc - SC";"1"
"42102";"ATIVO";"SRMETR";"Extremo Oeste - Área de Expansão - SC";"EXTREMO OESTE - AREA DE EXPANSAO - SC";"Extremo Oeste - exp - SC";"1"
"42110";"ATIVO";"RMETR";"Contestado - SC";"CONTESTADO - SC";"Contestado - SC";"2"
"42111";"ATIVO";"SRMETR";"Contestado - Núcleo Metropolitano - SC";"CONTESTADO - NUCLEO METROPOLITANO - SC";"Contestado - núcleo - SC";"1"
"43000";"IGNOR";"IGNOR";"Município ignorado - RS";"MUNICIPIO IGNORADO - RS";"Ignorado - RS";"8"
"43010";"ATIVO";"RMETR";"Porto Alegre - RS";"PORTO ALEGRE - RS";"Porto Alegre - RS";"1"
"43020";"ATIVO";"RMETR";"Litoral Norte - RS";"LITORAL NORTE - RS";"Litoral Norte - RS";"1"
"43030";"ATIVO";"RMETR";"Serra Gaúcha - RS";"SERRA GAUCHA - RS";"Serra Gaúcha - RS";"1"
"43040";"ATIVO";"RMETR";"Sul - RS";"SUL - RS";"Sul - RS";"1"
"43900";"OUTROS";"OUTROS";"Fora da Região Metropolitana - RS";"FORA DA REGIAO METROPOLITANA - RS";"Fora de Reg.Metrop. - RS";"5"
"50000";"IGNOR";"IGNOR";"Município ignorado - MS";"MUNICIPIO IGNORADO - MS";"Ignorado - MS";"8"
"50900";"OUTROS";"OUTROS";"Fora da Região Metropolitana - MS";"FORA DA REGIAO METROPOLITANA - MS";"Fora de Reg.Metrop. - MS";"5"
"51000";"IGNOR";"IGNOR";"Município ignorado - MT";"MUNICIPIO IGNORADO - MT";"Ignorado - MT";"8"
"51010";"ATIVO";"RMETR";"Vale do Rio Cuiabá - MT";"VALE DO RIO CUIABA - MT";"Vale do Rio Cuiabá - MT";"2"
"51011";"ATIVO";"SRMETR";"Vale do Rio Cuiabá - núcleo metropol - MT";"VALE DO RIO CUIABA - NUCLEO METROPOL - MT";"Vale R.Cuiabá - núc - MT";"1"
"51012";"ATIVO";"SRMETR";"Vale do Rio Cuiabá - entorno metrop - MT";"VALE DO RIO CUIABA - ENTORNO METROP - MT";"Vale R.Cuiabá - ent - MT";"1"
"51900";"OUTROS";"OUTROS";"Fora da Região Metropolitana - MT";"FORA DA REGIAO METROPOLITANA - MT";"Fora de Reg.Metrop. - MT";"5"
"52000";"IGNOR";"IGNOR";"Município ignorado - GO";"MUNICIPIO IGNORADO - GO";"Ignorado - GO";"8"
"52010";"ATIVO";"RMETR";"Goiânia - GO";"GOIANIA - GO";"Goiânia - GO";"1"
"52900";"OUTROS";"OUTROS";"Fora da Região Metropolitana - GO";"FORA DA REGIAO METROPOLITANA - GO";"Fora de Reg.Metrop. - GO";"5"
"52980";"TRANSF";"TRANSF";"Municípios transferidos para Tocantins";"MUNICIPIOS TRANSFERIDOS PARA TOCANTINS";"Transf p/Tocantins";"7"
"53010";"ATIVO";"RIDE";"Distrito Federal e Entorno - DF/GO/MG";"DISTRITO FEDERAL E ENTORNO - DF/GO/MG";"DF e Entorno - DF/GO/MG";"1"
